Viper_body

Right Surface Points
        x()          y()          z()
       -0.246          0.017         -0.033
       -0.246          0.014         -0.035
       -0.246          0.011         -0.036
       -0.246          0.008         -0.036
       -0.246          0.004         -0.037
       -0.246          0.000         -0.037

  Cross Section   7
       -0.242          0.000          0.034
       -0.242          0.005          0.034
       -0.242          0.009          0.033
       -0.242          0.013          0.033
       -0.242          0.017          0.032
       -0.242          0.019          0.030
       -0.242          0.022          0.029
       -0.242          0.024          0.027
       -0.242          0.026          0.025
       -0.242          0.027          0.023
       -0.242          0.028          0.021
       -0.242          0.029          0.018
       -0.242          0.030          0.016
       -0.242          0.031          0.013
       -0.242          0.031          0.010
       -0.242          0.031          0.007
       -0.242          0.031          0.004
       -0.242          0.031          0.001
       -0.242          0.031         -0.003
       -0.242          0.031         -0.006
       -0.242          0.031         -0.009
       -0.242          0.031         -0.013
       -0.242          0.031         -0.016
       -0.242          0.031         -0.019
       -0.242          0.030         -0.022
       -0.242          0.029         -0.025
       -0.242          0.028         -0.028
       -0.242          0.027         -0.031
       -0.242          0.026         -0.034
       -0.242          0.024         -0.036
       -0.242          0.022         -0.038
       -0.242          0.019         -0.040
       -0.242          0.017         -0.042
       -0.242          0.013         -0.043
       -0.242          0.009         -0.044
       -0.242          0.005         -0.045
       -0.242          0.000         -0.045

  Cross Section   8
       -0.236          0.000          0.039
       -0.236          0.006          0.039
       -0.236          0.010          0.038
       -0.236          0.015          0.037
       -0.236          0.018          0.036
       -0.236          0.022          0.035
       -0.236          0.025          0.033
       -0.236          0.027          0.031
       -0.236          0.029          0.029
       -0.236          0.031          0.026
       -0.236          0.032          0.024
       -0.236          0.033          0.021
       -0.236          0.034          0.018
       -0.236          0.034          0.015
       -0.236          0.035          0.011
       -0.236          0.035          0.008
       -0.236          0.035          0.004
       -0.236          0.035          0.000
       -0.236          0.035         -0.003
       -0.236          0.035         -0.007
       -0.236          0.035         -0.011
       -0.236          0.035         -0.015
       -0.236          0.035         -0.019
