NACA0006
 1.00000     0.00000
 0.99280     0.00050
 0.97989     0.00139
 0.96352     0.00250
 0.94455     0.00376
 0.92350     0.00513
 0.90075     0.00656
 0.87658     0.00805
 0.85123     0.00956
 0.82489     0.01109
 0.79774     0.01261
 0.76991     0.01412
 0.74154     0.01561
 0.71275     0.01706
 0.68365     0.01848
 0.65434     0.01984
 0.62492     0.02114
 0.59547     0.02237
 0.56607     0.02353
 0.53680     0.02461
 0.50774     0.02559
 0.47895     0.02648
 0.45050     0.02726
 0.42246     0.02793
 0.39488     0.02848
 0.36782     0.02890
 0.34135     0.02919
 0.31551     0.02935
 0.29035     0.02937
 0.26594     0.02924
 0.24231     0.02897
 0.21951     0.02855
 0.19760     0.02799
 0.17661     0.02728
 0.15660     0.02642
 0.13760     0.02542
 0.11965     0.02429
 0.10280     0.02302
 0.08709     0.02162
 0.07256     0.02010
 0.05924     0.01846
 0.04717     0.01671
 0.03639     0.01485
 0.02694     0.01290
 0.01885     0.01085
 0.01215     0.00871
 0.00688     0.00649
 0.00308     0.00420
 0.00078     0.00182
 0.00000    -0.00063
 0.00078    -0.00308
 0.00308    -0.00546
 0.00688    -0.00775
 0.01215    -0.00997
 0.01885    -0.01211
 0.02694    -0.01416
 0.03639    -0.01611
 0.04717    -0.01797
 0.05924    -0.01972
 0.07256    -0.02136
 0.08709    -0.02288
 0.10280    -0.02428
 0.11965    -0.02555
 0.13760    -0.02668
 0.15660    -0.02768
 0.17661    -0.02854
 0.19760    -0.02925
 0.21951    -0.02981
 0.24231    -0.03023
 0.26594    -0.03050
 0.29035    -0.03063
 0.31551    -0.03061
 0.34135    -0.03045
 0.36782    -0.03016
 0.39488    -0.02974
 0.42246    -0.02919
 0.45050    -0.02852
 0.47895    -0.02774
 0.50774    -0.02685
 0.53680    -0.02587
 0.56607    -0.02479
 0.59547    -0.02363
 0.62492    -0.02240
 0.65434    -0.02110
 0.68365    -0.01974
 0.71275    -0.01832
 0.74154    -0.01687
 0.76991    -0.01538
 0.79774    -0.01387
 0.82489    -0.01235
 0.85123    -0.01082
 0.87658    -0.00931
 0.90075    -0.00782
 0.92350    -0.00639
 0.94455    -0.00502
 0.96352    -0.00376
 0.97989    -0.00265
 0.99280    -0.00176
 1.00000    -0.00126
