1.2450	0.0000
1.2441	0.0065
1.2417	0.0125
1.2377	0.0177
1.2325	0.0217
1.2265	0.0241
1.2200	0.0250
1.1800	0.0250
1.1400	0.0250
1.1000	0.0250
1.0600	0.0250
1.0200	0.0250
0.9800	0.0360
0.9400	0.0400
0.9000	0.0390
0.8600	0.0350
0.8200	0.0290
0.7800	0.0230
0.7400	0.0170
0.7000	0.0120
0.6200	0.0120
0.5400	0.0120
0.4600	0.0120
0.3800	0.0120
0.3000	0.0120
0.2800	0.0160
0.2600	0.0200
0.1800	0.0200
0.1000	0.0200
0.0200	0.0200
0.0148	0.0193
0.0100	0.0173
0.0059	0.0141
0.0027	0.0100
0.0007	0.0052
0.0000	0.0000
0.0007	-0.0052
0.0027	-0.0100
0.0059	-0.0141
0.0100	-0.0173
0.0148	-0.0193
0.0200	-0.0200
0.1000	-0.0200
0.1800	-0.0200
0.2600	-0.0200
0.2800	-0.0160
0.3000	-0.0120
0.3800	-0.0120
0.4600	-0.0120
0.5400	-0.0120
0.6200	-0.0120
0.7000	-0.0120
0.7400	-0.0170
0.7800	-0.0230
0.8200	-0.0290
0.8600	-0.0350
0.9000	-0.0390
0.9400	-0.0400
0.9800	-0.0360
1.0200	-0.0250
1.0600	-0.0250
1.1000	-0.0250
1.1400	-0.0250
1.1800	-0.0250
1.2200	-0.0250
1.2265	-0.0241
1.2325	-0.0217
1.2377	-0.0177
1.2417	-0.0125
1.2441	-0.0065
1.2450	0.0000
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
